particles,omega,phip,phig,max_iter,Best solution,Fitness value
15,0.45,1.5,1.5,5,[18.20296068 31.63299189],61.658332932737004
15,0.45,1.5,1.5,10,[20. 40.],61.0
15,0.45,1.5,1.75,5,[20.         37.87960002],57.0
15,0.45,1.5,1.75,10,[20. 40.],57.0
15,0.45,1.5,2.0,5,[20.         39.61600058],63.0
15,0.45,1.5,2.0,10,[20. 40.],70.0
15,0.45,1.75,1.5,5,[20.         35.79681243],63.0
15,0.45,1.75,1.5,10,[20.         34.98421091],57.0
15,0.45,1.75,1.75,5,[20.         36.02444671],72.0
15,0.45,1.75,1.75,10,[15.90427605 28.46507204],65.28632970432182
15,0.45,1.75,2.0,5,[20.       28.452377],64.0
15,0.45,1.75,2.0,10,[18.83043643 40.        ],59.7733514780242
15,0.45,2.0,1.5,5,[20.         30.88631734],67.0
15,0.45,2.0,1.5,10,[20. 40.],68.0
15,0.45,2.0,1.75,5,[20. 40.],70.0
15,0.45,2.0,1.75,10,[18.7759714  39.13759344],48.763173872336594
15,0.45,2.0,2.0,5,[20. 40.],69.0
15,0.45,2.0,2.0,10,[14.01631055 31.34535546],72.05871121213706
15,0.75,1.5,1.5,5,[20. 40.],71.0
15,0.75,1.5,1.5,10,[20. 40.],68.0
15,0.75,1.5,1.75,5,[20. 40.],71.0
15,0.75,1.5,1.75,10,[20.        39.5736488],62.0
15,0.75,1.5,2.0,5,[20. 40.],68.0
15,0.75,1.5,2.0,10,[20. 40.],78.0
15,0.75,1.75,1.5,5,[20.         39.22333826],71.0
15,0.75,1.75,1.5,10,[20. 40.],60.0
15,0.75,1.75,1.75,5,[20. 40.],77.0
15,0.75,1.75,1.75,10,[20. 40.],61.0
15,0.75,1.75,2.0,5,[20. 40.],75.0
15,0.75,1.75,2.0,10,[20. 40.],65.0
15,0.75,2.0,1.5,5,[20. 40.],66.0
15,0.75,2.0,1.5,10,[20.         23.92484206],59.0
15,0.75,2.0,1.75,5,[20. 40.],69.0
15,0.75,2.0,1.75,10,[20. 40.],65.0
15,0.75,2.0,2.0,5,[20. 40.],62.0
15,0.75,2.0,2.0,10,[20. 40.],59.0
25,0.45,1.5,1.5,5,[19.90292766 25.18905685],63.980632876890546
25,0.45,1.5,1.5,10,[20. 40.],67.0
25,0.45,1.5,1.75,5,[20. 40.],62.0
25,0.45,1.5,1.75,10,[12.85796141 23.54935798],60.96830147712216
25,0.45,1.5,2.0,5,[15.69487014 40.        ],58.257064480525024
25,0.45,1.5,2.0,10,[20.         31.78896736],57.0
25,0.45,1.75,1.5,5,[19.49826082 31.58559951],62.90094326571972
25,0.45,1.75,1.5,10,[18.38702176 40.        ],58.69155399985148
25,0.45,1.75,1.75,5,[19.22719316 31.40723773],66.84854480780864
25,0.45,1.75,1.75,10,[20.         31.17481634],56.0
25,0.45,1.75,2.0,5,[20.         38.47671496],55.0
25,0.45,1.75,2.0,10,[20.         30.94075088],59.0
25,0.45,2.0,1.5,5,[20. 40.],59.0
25,0.45,2.0,1.5,10,[20. 40.],59.0
25,0.45,2.0,1.75,5,[20.         24.60816718],65.0
25,0.45,2.0,1.75,10,[20.         29.19751526],66.0
25,0.45,2.0,2.0,5,[20. 40.],68.0
25,0.45,2.0,2.0,10,[20. 40.],65.0
25,0.75,1.5,1.5,5,[20. 40.],60.0
25,0.75,1.5,1.5,10,[20. 40.],67.0
25,0.75,1.5,1.75,5,[13.09420409 40.        ],66.98304788876209
25,0.75,1.5,1.75,10,[20. 40.],62.0
25,0.75,1.5,2.0,5,[20. 40.],65.0
25,0.75,1.5,2.0,10,[20.         34.45314805],67.0
25,0.75,1.75,1.5,5,[20. 40.],60.0
25,0.75,1.75,1.5,10,[20. 40.],56.0
25,0.75,1.75,1.75,5,[20. 40.],59.0
25,0.75,1.75,1.75,10,[19.65936706 39.15317449],57.93246361899358
25,0.75,1.75,2.0,5,[20. 40.],72.0
25,0.75,1.75,2.0,10,[19.18562119 39.88170897],55.840581060288535
25,0.75,2.0,1.5,5,[20. 40.],62.0
25,0.75,2.0,1.5,10,[20. 40.],62.0
25,0.75,2.0,1.75,5,[20. 40.],64.0
25,0.75,2.0,1.75,10,[20. 40.],65.0
25,0.75,2.0,2.0,5,[20. 40.],61.0
25,0.75,2.0,2.0,10,[20. 40.],56.0
